iter	Passed	Remaining
0	6	633
1	13	676
2	19	620
3	24	590
4	31	596
5	36	578
6	42	561
7	47	549
8	53	537
9	60	540
10	83	676
11	87	640
12	96	646
13	102	626
14	111	629
15	116	610
16	124	607
17	130	593
18	135	579
19	144	579
20	150	565
21	159	565
22	164	551
23	172	545
24	177	533
25	183	521
26	191	518
27	196	506
28	202	495
29	209	488
30	215	478
31	223	474
32	228	464
33	234	455
34	241	449
35	247	440
36	255	434
37	260	425
38	266	416
39	272	408
40	278	400
41	285	394
42	292	387
43	297	379
44	304	372
45	310	364
46	318	358
47	324	351
48	331	345
49	339	339
50	347	333
51	355	327
52	365	324
53	373	318
54	383	314
55	393	308
56	402	303
57	412	299
58	424	294
59	438	292
60	452	289
61	468	287
62	482	283
63	492	276
64	501	269
65	513	264
66	527	259
67	535	252
68	549	246
69	564	241
70	579	236
71	596	231
72	619	229
73	660	232
74	679	226
75	697	220
76	715	213
77	738	208
78	756	200
79	787	196
80	809	189
81	827	181
82	842	172
83	856	163
84	867	153
85	876	142
86	887	132
87	897	122
88	905	111
89	914	101
90	921	91
91	930	80
92	937	70
93	946	60
94	954	50
95	962	40
96	969	29
97	975	19
98	983	9
99	989	0
